Player,Price
Omar Marmoush,€75M
Manuel Ugarte,€50M
André,€22M
Aaron Ramsdale,€21.4M
Maxence Lacroix,€18M
Bilal El Khannouss,€22.5M
Mikel Merino,€32M
Dara O'Shea,€14.2M
Jack Clarke,€17.7M
Joachim Andersen,€29.5M
İlkay Gündoğan,Free
Jordan Ayew,€5.9M
Sepp van den Berg,€23.6M
Sander Berge,€23.6M
Mateus Fernandes,€15M
Georginio Rutter,€46.7M
Oliver Skipp,€23.5M
Evanilson,€37M
Cameron Archer,€17.6M
Sammie Szmodics,€10.6M
Aaron Wan-Bissaka,€17.6M
Noussair Mazraoui,€15M
Matthijs de Ligt,€45M
Pedro Neto,€60M
Dominic Solanke,€64.3M
Guido Rodríguez,Free
Emile Smith Rowe,€31.8M
Ismaïla Sarr,€15M
Dean Huijsen,€15.2M
Jake O'Brien,€19.5M
Riccardo Calafiori,€45M
Amadou Onana,€59.4M
Nikola Milenković,€12.3M
Leny Yoro,€62M
Sávio,€25M
Arijanet Murić,€9.6M
Flynn Downes,€17.9M
Joshua Zirkzee,€42.5M
Yukinari Sugawara,€7M
Liam Delap,€17.9M
Jacob Greaves,€21.5M
Cameron Archer,€16.7M
Caleb Okoli,€14M
Max Kilman,€47.5M
David Raya,€31.9M
Iliman Ndiaye,€18M
Orel Mangala,€23.4M
Archie Gray,€41.3M
Daichi Kamada,Free
Ben Johnson,Free
Marc Guiu,€6M
O. Hutchinson,€23.5M
Yankuba Minteh,€35M
Elliot Anderson,€41.2M
Ian Maatsen,€44.5M
Taylor Harwood-Bellis,€23M
Tosin Adarabioyo,Free
Lewis Hall,€33M
Lucas Bergvall,€10M
